"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"37019_at"	"0.726255"	"4.30e-01"	"-0.8047955"	"-5.82781"	"-0.1116492"	"FGB"	"fibrinogen beta chain"
"36046_at"	"0.726255"	"4.30e-01"	"-0.8047874"	"-5.82782"	"-0.1379251"	"RCHY1"	"ring finger and CHY zinc finger domain containing 1"
"36842_at"	"0.726516"	"4.31e-01"	"0.804377"	"-5.82814"	"0.0795277"	"ERC2"	"ELKS/RAB6-interacting/CAST family member 2"
"38750_at"	"0.726516"	"4.31e-01"	"-0.8043088"	"-5.82819"	"-0.1174713"	"NOTCH3"	"notch 3"
"37622_r_at"	"0.726523"	"4.31e-01"	"-0.8041066"	"-5.82835"	"-0.174365"	"PSIP1"	"PC4 and SFRS1 interacting protein 1"
"32309_at"	"0.726523"	"4.31e-01"	"0.8040276"	"-5.82841"	"0.1171799"	""	""
"32381_at"	"0.726523"	"4.31e-01"	"-0.8039957"	"-5.82844"	"-0.1246785"	"RORB"	"RAR related orphan receptor B"
"36580_at"	"0.726658"	"4.31e-01"	"0.8037518"	"-5.82863"	"0.2123173"	"RMND5A"	"required for meiotic nuclear division 5 homolog A"
"40486_g_at"	"0.726906"	"4.31e-01"	"0.8033152"	"-5.82897"	"0.1202342"	"TRIM44"	"tripartite motif containing 44"
"40132_g_at"	"0.726906"	"4.31e-01"	"-0.8032876"	"-5.82899"	"-0.1176798"	"CCZ1B///CCZ1"	"CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated///CCZ1 homolog, vacuolar protein trafficking and biogenesis associated"
"39488_at"	"0.726931"	"4.31e-01"	"-0.8031585"	"-5.82909"	"-0.0802968"	"PCDH9"	"protocadherin 9"
"38841_at"	"0.726957"	"4.31e-01"	"0.8030296"	"-5.82919"	"0.0613704"	"UBAC1"	"UBA domain containing 1"
"1224_at"	"0.72707"	"4.31e-01"	"0.8027465"	"-5.82941"	"0.0635152"	"CDK16"	"cyclin dependent kinase 16"
"31326_at"	"0.72707"	"4.32e-01"	"0.8027071"	"-5.82944"	"0.0621514"	"C1orf68"	"chromosome 1 open reading frame 68"
"41039_at"	"0.727167"	"4.32e-01"	"0.802473"	"-5.82963"	"0.0657563"	"TTLL1"	"tubulin tyrosine ligase like 1"
"32405_at"	"0.727167"	"4.32e-01"	"0.8024016"	"-5.82968"	"0.0554567"	"ACOT11"	"acyl-CoA thioesterase 11"
"35653_at"	"0.727211"	"4.32e-01"	"0.8022526"	"-5.8298"	"0.1130831"	"GPS2"	"G protein pathway suppressor 2"
"33071_at"	"0.727325"	"4.32e-01"	"0.8019719"	"-5.83002"	"0.0617349"	"OR2B6"	"olfactory receptor family 2 subfamily B member 6"
"38546_at"	"0.727325"	"4.32e-01"	"-0.8019298"	"-5.83005"	"-0.0828758"	"IL1RAP"	"interleukin 1 receptor accessory protein"
"31791_at"	"0.727682"	"4.32e-01"	"-0.8013597"	"-5.83049"	"-0.118342"	"TP63"	"tumor protein p63"
"38366_g_at"	"0.727682"	"4.32e-01"	"-0.801351"	"-5.8305"	"-0.0960477"	"PEX1"	"peroxisomal biogenesis factor 1"
"31872_at"	"0.72776"	"4.32e-01"	"-0.8011673"	"-5.83064"	"-0.0530485"	"SS18"	"SS18, nBAF chromatin remodeling complex subunit"
"41386_i_at"	"0.727778"	"4.33e-01"	"-0.8009065"	"-5.83084"	"-0.0579554"	"KDM6B"	"lysine demethylase 6B"
"33310_at"	"0.727778"	"4.33e-01"	"0.8008127"	"-5.83092"	"0.090188"	"ABHD5"	"abhydrolase domain containing 5"
"38296_at"	"0.727778"	"4.33e-01"	"0.800759"	"-5.83096"	"0.059067"	"MED20"	"mediator complex subunit 20"
"41615_at"	"0.727778"	"4.33e-01"	"0.8007399"	"-5.83097"	"0.1118082"	"CTAGE5"	"CTAGE family member 5, ER export factor"
"1927_s_at"	"0.7279"	"4.33e-01"	"-0.8005105"	"-5.83115"	"-0.1078385"	"ACVRL1"	"activin A receptor like type 1"
"33000_at"	"0.727931"	"4.33e-01"	"0.8003232"	"-5.8313"	"0.0968636"	"HAVCR1"	"hepatitis A virus cellular receptor 1"
"31789_at"	"0.727931"	"4.33e-01"	"0.8002479"	"-5.83136"	"0.0743233"	"CYP17A1"	"cytochrome P450 family 17 subfamily A member 1"
"698_f_at"	"0.727931"	"4.33e-01"	"0.8000339"	"-5.83152"	"0.089145"	"ZNF284///ZNF223///ZNF222"	"zinc finger protein 284///zinc finger protein 223///zinc finger protein 222"
"38934_at"	"0.727931"	"4.33e-01"	"0.8000032"	"-5.83155"	"0.0762756"	""	""
"36938_at"	"0.727931"	"4.33e-01"	"-0.7999683"	"-5.83157"	"-0.148658"	"ASAH1"	"N-acylsphingosine amidohydrolase 1"
"35934_at"	"0.728044"	"4.33e-01"	"-0.7997473"	"-5.83174"	"-0.1285304"	"EIF2S3"	"eukaryotic translation initiation factor 2 subunit gamma"
"32062_at"	"0.728123"	"4.33e-01"	"0.7993824"	"-5.83203"	"0.151561"	"LRRC14"	"leucine rich repeat containing 14"
"36591_at"	"0.728123"	"4.33e-01"	"-0.7992757"	"-5.83211"	"-0.1668087"	"TUBA4A"	"tubulin alpha 4a"
"38554_at"	"0.728123"	"4.34e-01"	"-0.7991872"	"-5.83218"	"-0.1147485"	"BCAP29"	"B-cell receptor-associated protein 29"
"36207_at"	"0.728123"	"4.34e-01"	"-0.7991212"	"-5.83223"	"-0.0634551"	"SEC14L1"	"SEC14 like lipid binding 1"
"31695_g_at"	"0.728123"	"4.34e-01"	"-0.7990933"	"-5.83225"	"-0.0624623"	"DDI2///RSC1A1"	"DNA damage inducible 1 homolog 2///regulatory solute carrier protein, family 1, member 1"
"41043_at"	"0.728123"	"4.34e-01"	"0.7990541"	"-5.83228"	"0.057574"	"SOX15"	"SRY-box 15"
"40983_s_at"	"0.728244"	"4.34e-01"	"-0.798794"	"-5.83248"	"-0.0838812"	"SRR"	"serine racemase"
"31520_at"	"0.728244"	"4.34e-01"	"0.7987178"	"-5.83254"	"0.0871325"	"CBX2"	"chromobox 2"
"35328_at"	"0.728244"	"4.34e-01"	"-0.7986209"	"-5.83262"	"-0.0732968"	"NF1P9///NF1"	"neurofibromin 1 pseudogene 9///neurofibromin 1"
"33483_at"	"0.728245"	"4.34e-01"	"-0.7984299"	"-5.83277"	"-0.1009745"	"NMU"	"neuromedin U"
"38139_at"	"0.728245"	"4.34e-01"	"-0.798417"	"-5.83278"	"-0.2218527"	"FPGT"	"fucose-1-phosphate guanylyltransferase"
"41755_at"	"0.728547"	"4.34e-01"	"-0.7979972"	"-5.8331"	"-0.0829207"	"COBLL1"	"cordon-bleu WH2 repeat protein like 1"
"32327_at"	"0.728603"	"4.34e-01"	"0.7978371"	"-5.83322"	"0.050664"	"POU3F2"	"POU class 3 homeobox 2"
"32851_at"	"0.72903"	"4.35e-01"	"-0.7972864"	"-5.83365"	"-0.0695426"	"CELF2"	"CUGBP, Elav-like family member 2"
"32722_at"	"0.729215"	"4.35e-01"	"0.7968585"	"-5.83398"	"0.078089"	"ARG2"	"arginase 2"
"38462_at"	"0.729215"	"4.35e-01"	"-0.7967977"	"-5.83403"	"-0.1834279"	"NDUFA5"	"NADH:ubiquinone oxidoreductase subunit A5"
"33039_at"	"0.729215"	"4.35e-01"	"-0.7967872"	"-5.83404"	"-0.1260131"	"TRAT1"	"T cell receptor associated transmembrane adaptor 1"
"2046_at"	"0.729606"	"4.35e-01"	"0.7962749"	"-5.83443"	"0.0466186"	"ERG"	"ERG, ETS transcription factor"
"34682_at"	"0.729657"	"4.35e-01"	"-0.7961148"	"-5.83456"	"-0.0705149"	""	""
"31689_at"	"0.729657"	"4.35e-01"	"-0.7960169"	"-5.83463"	"-0.1077032"	"HERC4"	"HECT and RLD domain containing E3 ubiquitin protein ligase 4"
"32285_g_at"	"0.72971"	"4.35e-01"	"0.7957516"	"-5.83484"	"0.0715083"	"TBX1"	"T-box 1"
"34702_f_at"	"0.72971"	"4.36e-01"	"0.7956478"	"-5.83492"	"0.124382"	"TPTEP1"	"transmembrane phosphatase with tensin homology pseudogene 1"
"33111_at"	"0.72971"	"4.36e-01"	"-0.7955354"	"-5.835"	"-0.1122586"	"RNF115"	"ring finger protein 115"
"1035_g_at"	"0.72971"	"4.36e-01"	"0.7955114"	"-5.83502"	"0.0580208"	"TIMP3"	"TIMP metallopeptidase inhibitor 3"
"1294_at"	"0.72971"	"4.36e-01"	"0.7950898"	"-5.83535"	"0.0569479"	"MIR5193///UBA7"	"microRNA 5193///ubiquitin like modifier activating enzyme 7"
"37425_g_at"	"0.72971"	"4.36e-01"	"-0.7949714"	"-5.83544"	"-0.0860738"	"CCHCR1"	"coiled-coil alpha-helical rod protein 1"
"33962_at"	"0.72971"	"4.36e-01"	"0.7949525"	"-5.83545"	"0.114111"	"PHEX"	"phosphate regulating endopeptidase homolog, X-linked"
"34147_g_at"	"0.72971"	"4.36e-01"	"0.7949525"	"-5.83545"	"0.0527917"	"OGG1"	"8-oxoguanine DNA glycosylase"
"32729_at"	"0.72971"	"4.36e-01"	"0.7949438"	"-5.83546"	"0.0966217"	"MYH3"	"myosin, heavy chain 3, skeletal muscle, embryonic"
"2000_at"	"0.72971"	"4.36e-01"	"-0.7949235"	"-5.83548"	"-0.1754793"	"ATM"	"ATM serine/threonine kinase"
"39957_at"	"0.72971"	"4.36e-01"	"-0.7948425"	"-5.83554"	"-0.1551538"	"SOCS6"	"suppressor of cytokine signaling 6"
"33443_at"	"0.72982"	"4.36e-01"	"-0.7946025"	"-5.83572"	"-0.2249549"	"SERINC1"	"serine incorporator 1"
"31512_at"	"0.72982"	"4.36e-01"	"-0.7944691"	"-5.83583"	"-0.213067"	"IGKC"	"immunoglobulin kappa constant"
"37654_at"	"0.72982"	"4.36e-01"	"0.7943849"	"-5.83589"	"0.0728689"	"SNX17"	"sorting nexin 17"
"32225_at"	"0.72982"	"4.36e-01"	"0.7943203"	"-5.83594"	"0.1397668"	"ATP1A1"	"ATPase Na+/K+ transporting subunit alpha 1"
"1009_at"	"0.729955"	"4.36e-01"	"0.7939246"	"-5.83625"	"0.0841321"	"HINT1"	"histidine triad nucleotide binding protein 1"
"31370_at"	"0.729955"	"4.37e-01"	"-0.7937191"	"-5.83641"	"-0.0994188"	""	""
"41034_s_at"	"0.729955"	"4.37e-01"	"0.7936976"	"-5.83642"	"0.0732719"	"SULT2B1"	"sulfotransferase family 2B member 1"
"35854_at"	"0.729955"	"4.37e-01"	"0.7936919"	"-5.83643"	"0.1616043"	"SLC18A2"	"solute carrier family 18 member A2"
"38041_at"	"0.729955"	"4.37e-01"	"-0.7935049"	"-5.83657"	"-0.1756312"	"GALNT1"	"polypeptide N-acetylgalactosaminyltransferase 1"
"40679_at"	"0.729955"	"4.37e-01"	"-0.7934012"	"-5.83665"	"-0.090839"	"SLC6A12"	"solute carrier family 6 member 12"
"33129_at"	"0.729955"	"4.37e-01"	"0.7933711"	"-5.83667"	"0.0615642"	"CST6"	"cystatin E/M"
"35067_at"	"0.729955"	"4.37e-01"	"-0.7933656"	"-5.83668"	"-0.1169952"	"AGGF1"	"angiogenic factor with G-patch and FHA domains 1"
"36106_at"	"0.73011"	"4.37e-01"	"0.7931011"	"-5.83688"	"0.5113095"	"APOC3"	"apolipoprotein C3"
"1153_f_at"	"0.730201"	"4.37e-01"	"-0.7929039"	"-5.83703"	"-0.0906056"	"CGB2///CGB1///CGB8///CGB7///CGB5///CGB3"	"chorionic gonadotropin beta subunit 2///chorionic gonadotropin beta subunit 1///chorionic gonadotropin beta subunit 8///chorionic gonadotropin beta subunit 7///chorionic gonadotropin beta subunit 5///chorionic gonadotropin beta subunit 3"
"38334_g_at"	"0.730394"	"4.37e-01"	"-0.7925999"	"-5.83727"	"-0.0697767"	"OGG1"	"8-oxoguanine DNA glycosylase"
"36498_at"	"0.730504"	"4.37e-01"	"-0.7923822"	"-5.83743"	"-0.0704135"	"AP1S1"	"adaptor related protein complex 1 sigma 1 subunit"
"1488_at"	"0.730507"	"4.37e-01"	"-0.7922778"	"-5.83751"	"-0.0909249"	"PTPRK"	"protein tyrosine phosphatase, receptor type K"
"35418_at"	"0.730704"	"4.38e-01"	"0.7919077"	"-5.8378"	"0.1081865"	"HEXA"	"hexosaminidase subunit alpha"
"39268_at"	"0.730704"	"4.38e-01"	"-0.7918681"	"-5.83783"	"-0.0725176"	"KCNF1"	"potassium voltage-gated channel modifier subfamily F member 1"
"33829_at"	"0.730758"	"4.38e-01"	"-0.7916895"	"-5.83797"	"-0.2411114"	"LEPROT"	"leptin receptor overlapping transcript"
"160032_at"	"0.730758"	"4.38e-01"	"0.7915275"	"-5.83809"	"0.1426958"	"IL6R"	"interleukin 6 receptor"
"41744_at"	"0.730758"	"4.38e-01"	"-0.7913919"	"-5.8382"	"-0.1851829"	"OPTN"	"optineurin"
"33278_at"	"0.730758"	"4.38e-01"	"-0.7913228"	"-5.83825"	"-0.1254715"	"ACSM3"	"acyl-CoA synthetase medium-chain family member 3"
"32709_at"	"0.730758"	"4.38e-01"	"-0.7913036"	"-5.83826"	"-0.1234189"	"KCNAB1"	"potassium voltage-gated channel subfamily A member regulatory beta subunit 1"
"40611_s_at"	"0.7312"	"4.38e-01"	"0.7907312"	"-5.8387"	"0.0563163"	"ZFR"	"zinc finger RNA binding protein"
"1675_at"	"0.7312"	"4.38e-01"	"-0.7906352"	"-5.83878"	"-0.0853399"	"RASA1"	"RAS p21 protein activator 1"
"1885_at"	"0.731215"	"4.38e-01"	"-0.7905189"	"-5.83887"	"-0.0600631"	"ERCC3"	"ERCC excision repair 3, TFIIH core complex helicase subunit"
"41596_s_at"	"0.731358"	"4.39e-01"	"-0.790267"	"-5.83906"	"-0.0795494"	"NAGLU"	"N-acetyl-alpha-glucosaminidase"
"38837_at"	"0.731499"	"4.39e-01"	"0.7900166"	"-5.83925"	"0.0983648"	"TMX4"	"thioredoxin related transmembrane protein 4"
"36455_at"	"0.73153"	"4.39e-01"	"0.7898826"	"-5.83935"	"0.0940213"	"COL9A3"	"collagen type IX alpha 3 chain"
"37178_at"	"0.731642"	"4.39e-01"	"-0.7896636"	"-5.83952"	"-0.1585389"	"SLC25A46"	"solute carrier family 25 member 46"
"170_at"	"0.73183"	"4.39e-01"	"0.7892688"	"-5.83983"	"0.0715438"	"CDX2"	"caudal type homeobox 2"
"35956_s_at"	"0.73183"	"4.39e-01"	"0.7892634"	"-5.83983"	"0.049745"	"PSG7///PSG4"	"pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)///pregnancy specific beta-1-glycoprotein 4"
"37993_at"	"0.732056"	"4.39e-01"	"0.788924"	"-5.84009"	"0.0584381"	"ATP5D"	"ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit"
"750_at"	"0.732228"	"4.40e-01"	"-0.7886414"	"-5.84031"	"-0.1270462"	"TRHR"	"thyrotropin releasing hormone receptor"
"40282_s_at"	"0.732245"	"4.40e-01"	"0.7884212"	"-5.84047"	"0.229256"	"CFD"	"complement factor D"
"38675_at"	"0.732245"	"4.40e-01"	"0.788387"	"-5.8405"	"0.0650092"	"SNRPC"	"small nuclear ribonucleoprotein polypeptide C"
"34328_s_at"	"0.732245"	"4.40e-01"	"0.7883199"	"-5.84055"	"0.0970089"	"HLTF"	"helicase like transcription factor"
"1225_g_at"	"0.732259"	"4.40e-01"	"0.7882038"	"-5.84064"	"0.0816695"	"CDK16"	"cyclin dependent kinase 16"
"38891_at"	"0.732276"	"4.40e-01"	"0.7880815"	"-5.84073"	"0.3537986"	"MTTP"	"microsomal triglyceride transfer protein"
"32164_at"	"0.732276"	"4.40e-01"	"0.7879828"	"-5.84081"	"0.0738342"	"EXT1"	"exostosin glycosyltransferase 1"
"1881_at"	"0.732423"	"4.40e-01"	"0.7877263"	"-5.84101"	"0.1561465"	"MECOM"	"MDS1 and EVI1 complex locus"
"320_at"	"0.732504"	"4.40e-01"	"0.7874503"	"-5.84122"	"0.0643583"	"PEX6"	"peroxisomal biogenesis factor 6"
"39384_at"	"0.732504"	"4.40e-01"	"0.7874388"	"-5.84123"	"0.0906079"	"ELAVL1"	"ELAV like RNA binding protein 1"
"39360_at"	"0.732533"	"4.40e-01"	"-0.7873063"	"-5.84133"	"-0.0988262"	"SNX3"	"sorting nexin 3"
"34616_at"	"0.732552"	"4.40e-01"	"0.7871853"	"-5.84142"	"0.0892577"	"F13B"	"coagulation factor XIII B chain"
"40910_at"	"0.732796"	"4.41e-01"	"-0.7867263"	"-5.84177"	"-0.1062786"	"CAPZA1"	"capping actin protein of muscle Z-line alpha subunit 1"
"35565_at"	"0.732796"	"4.41e-01"	"0.7867258"	"-5.84177"	"0.086163"	""	""
"31536_at"	"0.732833"	"4.41e-01"	"0.7865863"	"-5.84188"	"0.1201325"	"RTN4"	"reticulon 4"
"37809_at"	"0.732897"	"4.41e-01"	"0.7864177"	"-5.84201"	"0.1261419"	"HOXA10-HOXA9///MIR196B///HOXA9"	"HOXA10-HOXA9 readthrough///microRNA 196b///homeobox A9"
"31472_s_at"	"0.733063"	"4.41e-01"	"0.7861415"	"-5.84222"	"0.0628231"	"CD44"	"CD44 molecule (Indian blood group)"
"413_at"	"0.733104"	"4.41e-01"	"0.785978"	"-5.84234"	"0.0794033"	"HOXD9"	"homeobox D9"
"36755_s_at"	"0.733104"	"4.41e-01"	"0.7855963"	"-5.84263"	"0.0633612"	"IL5RA"	"interleukin 5 receptor subunit alpha"
"33743_at"	"0.733104"	"4.41e-01"	"0.7855714"	"-5.84265"	"0.0704548"	"ATRNL1"	"attractin like 1"
"39452_s_at"	"0.733104"	"4.41e-01"	"0.7855678"	"-5.84266"	"0.073583"	"SPTBN1"	"spectrin beta, non-erythrocytic 1"
"912_s_at"	"0.733104"	"4.41e-01"	"0.7854112"	"-5.84278"	"0.0595155"	"PLA2G1B"	"phospholipase A2 group IB"
"37927_at"	"0.733104"	"4.41e-01"	"-0.7854002"	"-5.84278"	"-0.0587798"	"RCC1"	"regulator of chromosome condensation 1"
"31338_at"	"0.733104"	"4.41e-01"	"0.7853886"	"-5.84279"	"0.1680886"	"R3HCC1L"	"R3H domain and coiled-coil containing 1 like"
"40038_at"	"0.733293"	"4.42e-01"	"-0.7850883"	"-5.84302"	"-0.0575002"	"MIR6132///ST7-OT3///ST7"	"microRNA 6132///ST7 overlapping transcript 3///suppression of tumorigenicity 7"
"36138_at"	"0.733371"	"4.42e-01"	"0.7849057"	"-5.84316"	"0.1334851"	"CAPNS1"	"calpain small subunit 1"
"35176_at"	"0.733379"	"4.42e-01"	"-0.7847959"	"-5.84324"	"-0.0549267"	"DPAGT1"	"dolichyl-phosphate N-acetylglucosaminephosphotransferase 1"
"38589_i_at"	"0.733628"	"4.42e-01"	"-0.7844303"	"-5.84352"	"-0.1210794"	"LOC100506248///MIR1244-2///MIR1244-3///MIR1244-1///LOC728026///PTMA"	"prothymosin alpha///microRNA 1244-2///microRNA 1244-3///microRNA 1244-1///prothymosin alpha-like///prothymosin, alpha"
"767_at"	"0.733628"	"4.42e-01"	"0.7843313"	"-5.8436"	"0.3034095"	"MYH11"	"myosin heavy chain 11"
"34178_at"	"0.733701"	"4.42e-01"	"0.7841482"	"-5.84374"	"0.071561"	"ZBTB22"	"zinc finger and BTB domain containing 22"
"38944_at"	"0.733701"	"4.42e-01"	"-0.783993"	"-5.84386"	"-0.0839646"	"SMAD3"	"SMAD family member 3"
"926_at"	"0.733701"	"4.42e-01"	"0.7839501"	"-5.84389"	"0.3102964"	"MT1G"	"metallothionein 1G"
"39689_at"	"0.733701"	"4.42e-01"	"0.7838486"	"-5.84397"	"0.1048232"	"CST3"	"cystatin C"
"33840_at"	"0.733784"	"4.42e-01"	"-0.7836601"	"-5.84411"	"-0.1298525"	"TPD52"	"tumor protein D52"
"35078_at"	"0.733956"	"4.43e-01"	"0.783378"	"-5.84432"	"0.0549723"	"ICAM4"	"intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)"
"36992_at"	"0.735289"	"4.43e-01"	"-0.7818773"	"-5.84547"	"-0.156328"	"TXN"	"thioredoxin"
"1834_at"	"0.735457"	"4.44e-01"	"-0.7814648"	"-5.84578"	"-0.0779263"	"GPR176"	"G protein-coupled receptor 176"
"35620_at"	"0.735457"	"4.44e-01"	"0.7814588"	"-5.84578"	"0.1151821"	"TOMM40"	"translocase of outer mitochondrial membrane 40"
"39837_s_at"	"0.735457"	"4.44e-01"	"-0.7813967"	"-5.84583"	"-0.0531492"	"ZNF467"	"zinc finger protein 467"
"37674_at"	"0.735871"	"4.44e-01"	"-0.7808614"	"-5.84624"	"-0.1126521"	"ALAS1"	"5'-aminolevulinate synthase 1"
"31894_at"	"0.735882"	"4.44e-01"	"0.780607"	"-5.84643"	"0.1060452"	"CENPC"	"centromere protein C"
"34462_at"	"0.735882"	"4.44e-01"	"0.7805942"	"-5.84644"	"0.0981511"	"SCNN1D"	"sodium channel epithelial 1 delta subunit"
"31930_f_at"	"0.735882"	"4.44e-01"	"-0.7805173"	"-5.8465"	"-0.0582432"	"RHD///RHCE"	"Rh blood group D antigen///Rh blood group CcEe antigens"
"41856_at"	"0.735882"	"4.44e-01"	"0.7804436"	"-5.84655"	"0.0373923"	"UNC5B"	"unc-5 netrin receptor B"
"41421_at"	"0.735944"	"4.44e-01"	"-0.7802043"	"-5.84674"	"-0.1436801"	"CAMTA2"	"calmodulin binding transcription activator 2"
"38855_s_at"	"0.735944"	"4.44e-01"	"-0.7801761"	"-5.84676"	"-0.0911918"	"OLFM1"	"olfactomedin 1"
"31847_at"	"0.735957"	"4.44e-01"	"-0.7800614"	"-5.84684"	"-0.0906846"	"USPL1"	"ubiquitin specific peptidase like 1"
"36770_at"	"0.736151"	"4.45e-01"	"0.7797565"	"-5.84708"	"0.0612265"	"STAT2"	"signal transducer and activator of transcription 2"
"40530_at"	"0.736164"	"4.45e-01"	"0.7796411"	"-5.84716"	"0.109451"	"APBB2"	"amyloid beta precursor protein binding family B member 2"
"754_s_at"	"0.736437"	"4.45e-01"	"-0.7792538"	"-5.84746"	"-0.0667958"	"BCR"	"BCR, RhoGEF and GTPase activating protein"
"37291_r_at"	"0.736784"	"4.45e-01"	"-0.7787229"	"-5.84786"	"-0.1987867"	"SNCA"	"synuclein alpha"
"1603_g_at"	"0.736784"	"4.45e-01"	"-0.7786866"	"-5.84789"	"-0.2441427"	"PRKCI"	"protein kinase C iota"
"2013_at"	"0.737019"	"4.45e-01"	"0.7782967"	"-5.84818"	"0.0803227"	"TFDP2"	"transcription factor Dp-2"
"40273_at"	"0.737019"	"4.45e-01"	"0.7782374"	"-5.84823"	"0.0691174"	"SPHK2"	"sphingosine kinase 2"
"34631_at"	"0.737278"	"4.46e-01"	"-0.7778645"	"-5.84851"	"-0.133663"	"EYA4"	"EYA transcriptional coactivator and phosphatase 4"
"32625_at"	"0.737457"	"4.46e-01"	"0.7775264"	"-5.84876"	"0.0543758"	"NPR1"	"natriuretic peptide receptor 1"
"39184_at"	"0.737457"	"4.46e-01"	"0.7774741"	"-5.8488"	"0.1208665"	"TCEB2"	"transcription elongation factor B subunit 2"
"41775_at"	"0.737496"	"4.46e-01"	"-0.7773322"	"-5.84891"	"-0.0605904"	"ICMT"	"isoprenylcysteine carboxyl methyltransferase"
"33409_at"	"0.737755"	"4.46e-01"	"-0.7769584"	"-5.84919"	"-0.1047325"	"FKBP2"	"FK506 binding protein 2"
"31816_at"	"0.737813"	"4.46e-01"	"0.7767517"	"-5.84935"	"0.0590948"	"GAA"	"glucosidase alpha, acid"
"201_s_at"	"0.737813"	"4.46e-01"	"-0.7766951"	"-5.84939"	"-0.1388524"	"B2M"	"beta-2-microglobulin"
"37897_s_at"	"0.737913"	"4.46e-01"	"-0.7764849"	"-5.84955"	"-0.1087798"	"TFF3"	"trefoil factor 3"
"36503_at"	"0.737913"	"4.47e-01"	"0.7761898"	"-5.84977"	"0.1547589"	"CCL21"	"C-C motif chemokine ligand 21"
"35174_i_at"	"0.737913"	"4.47e-01"	"0.7760324"	"-5.84989"	"0.1254317"	"EEF1A2"	"eukaryotic translation elongation factor 1 alpha 2"
"1790_s_at"	"0.737913"	"4.47e-01"	"-0.7760192"	"-5.8499"	"-0.054921"	"CDK10"	"cyclin dependent kinase 10"
"1987_at"	"0.737913"	"4.47e-01"	"0.7759789"	"-5.84993"	"0.064322"	"PDGFRA"	"platelet derived growth factor receptor alpha"
"1945_at"	"0.737913"	"4.47e-01"	"-0.775829"	"-5.85004"	"-0.1422843"	"CCNB1"	"cyclin B1"
"484_at"	"0.737913"	"4.47e-01"	"0.7758039"	"-5.85006"	"0.0535449"	"NCOA1"	"nuclear receptor coactivator 1"
"1324_at"	"0.737913"	"4.47e-01"	"0.7757559"	"-5.8501"	"0.068072"	"RAD9A"	"RAD9 checkpoint clamp component A"
"35952_at"	"0.737913"	"4.47e-01"	"0.7756789"	"-5.85016"	"0.0442685"	"SPATA2L"	"spermatogenesis associated 2 like"
"34641_at"	"0.737996"	"4.47e-01"	"-0.7754904"	"-5.8503"	"-0.0804762"	"PZP"	"PZP, alpha-2-macroglobulin like"
"31577_at"	"0.738179"	"4.47e-01"	"-0.7751973"	"-5.85052"	"-0.0736005"	"COL19A1"	"collagen type XIX alpha 1 chain"
"1514_g_at"	"0.738497"	"4.48e-01"	"-0.7746395"	"-5.85094"	"-0.1043252"	"KLK3"	"kallikrein related peptidase 3"
"461_at"	"0.738497"	"4.48e-01"	"-0.7745625"	"-5.851"	"-0.1277267"	"ASAH1"	"N-acylsphingosine amidohydrolase 1"
"32270_g_at"	"0.738497"	"4.48e-01"	"0.7745237"	"-5.85103"	"0.0554756"	"MAGI1"	"membrane associated guanylate kinase, WW and PDZ domain containing 1"
"31624_at"	"0.738497"	"4.48e-01"	"0.7743671"	"-5.85115"	"0.0518108"	"ALX3"	"ALX homeobox 3"
"41625_at"	"0.738497"	"4.48e-01"	"0.7743578"	"-5.85115"	"0.0478177"	"MED13"	"mediator complex subunit 13"
"32957_g_at"	"0.738508"	"4.48e-01"	"0.7742452"	"-5.85124"	"0.0927565"	"IQCK"	"IQ motif containing K"
"37481_at"	"0.738606"	"4.48e-01"	"0.7740412"	"-5.85139"	"0.0838319"	"CDC40"	"cell division cycle 40"
"35388_at"	"0.7388"	"4.48e-01"	"0.7736653"	"-5.85167"	"0.0510723"	"LHX1"	"LIM homeobox 1"
"41791_at"	"0.7388"	"4.48e-01"	"-0.7736352"	"-5.8517"	"-0.0857281"	"C16orf62"	"chromosome 16 open reading frame 62"
"41708_at"	"0.739034"	"4.48e-01"	"0.7732889"	"-5.85196"	"0.2056514"	"SATB2"	"SATB homeobox 2"
"38200_at"	"0.739039"	"4.48e-01"	"0.7730877"	"-5.85211"	"0.054288"	"FGD1"	"FYVE, RhoGEF and PH domain containing 1"
"1724_at"	"0.739039"	"4.48e-01"	"0.7730811"	"-5.85211"	"0.055476"	"E2F4"	"E2F transcription factor 4"
"35084_at"	"0.739211"	"4.49e-01"	"0.7727996"	"-5.85233"	"0.0601725"	"AMH"	"anti-Mullerian hormone"
"40564_at"	"0.739339"	"4.49e-01"	"-0.7724953"	"-5.85255"	"-0.1287283"	"NUP50"	"nucleoporin 50"
"34374_g_at"	"0.739339"	"4.49e-01"	"-0.7723943"	"-5.85263"	"-0.0605483"	"HUWE1"	"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase"
"32744_at"	"0.739339"	"4.49e-01"	"0.772289"	"-5.85271"	"0.0570893"	"RPS21"	"ribosomal protein S21"
"38671_at"	"0.739339"	"4.49e-01"	"-0.7722504"	"-5.85274"	"-0.0745474"	"PLXND1"	"plexin D1"
